[2023.07.19 16:10:27 - info ] Trading sessions loaded
[2023.07.19 16:10:27 - info ] Commodities configuration file ../common/commodities_stk.json loaded
[2023.07.19 16:10:27 - info ] Contracts configuration file ../common/contracts_new.json loaded, 2 exchanges
[2023.07.19 16:10:28 - info ] ClosingTask of 600170[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600370[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603861[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603233[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601988[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600885[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600067[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600019[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688323[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603817[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603978[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600323[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 605138[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688179[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600487[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600219[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603596[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600037[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601009[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603355[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603866[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603833[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603023[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603187[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603797[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600362[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603688[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603816[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603979[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601985[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601311[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600299[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600185[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688357[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600900[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603212[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601222[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603667[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603588[SSE] done, 0 datas processed totally
